,Name,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,TARGET_5Yrs,Draft_Yr,Pk,Team,College,attend_college,conference,FINAL_5Yrs,3PA_Shot,AST_TOV,True_FG%,PPP,FTR,TOV%,Hasst%
210,David Wingate,77,20.9,8.8,3.4,7.8,43.0,0.2,0.7,25.0,1.9,2.6,74.1,0.9,1.1,2.0,2.0,1.2,0.3,1.7,1.0,1986,44,PHI,Georgetown University,1,0,1,1,1.1764705882352942,52.55613951266126,0.8267568583239385,33.333333333333336,15.97143930853063,15.704750687082845
211,Johnny Dawkins,81,20.8,10.3,4.1,9.4,43.7,0.2,0.6,29.8,1.9,2.4,80.1,0.7,1.4,2.1,3.6,0.8,0.0,1.5,1.0,1986,10,SAS,Duke University,1,1,1,1,2.4,51.873489121676066,0.8614921378387421,25.53191489361702,12.546002007360322,23.017902813299234
212,William Bedford,50,19.6,6.7,2.8,7.2,39.7,0.0,0.0,0.0,1.0,1.7,58.1,1.6,3.3,4.9,1.1,0.4,0.7,1.7,1.0,1986,6,PHO,University of Memphis,1,0,1,0,0.6470588235294118,44.23026142064959,0.6944444444444445,23.61111111111111,17.620232172470978,10.178117048346058
213,Jeff Hornacek,80,19.5,5.3,2.0,4.4,45.4,0.2,0.5,27.9,1.2,1.5,77.7,0.5,1.8,2.3,4.5,0.9,0.1,1.9,1.0,1986,46,PHO,Iowa State University,1,1,1,1,2.368421052631579,56.02536997885834,0.7614942528735631,34.090909090909086,27.29885057471264,39.08794788273615
214,Roy Tarpley,75,18.7,7.5,3.1,6.7,46.7,0.0,0.0,33.3,1.3,1.9,67.6,2.4,4.7,7.1,0.7,0.8,1.1,1.4,1.0,1986,7,DAL,University of Michigan,1,1,1,0,0.5,52.68333801629671,0.8393017009847806,28.35820895522388,15.66696508504924,7.214635403246585
215,Mark Price,67,18.2,6.9,2.6,6.3,40.8,0.3,1.0,32.9,1.4,1.7,83.3,0.5,1.3,1.7,3.0,0.6,0.1,1.6,1.0,1986,25,DAL,Georgia Institute of Technology,1,1,1,1,1.875,51.69313754869644,0.797872340425532,26.984126984126984,18.501387604070306,25.624599615631006
216,John Salley,82,17.8,5.3,2.0,3.5,56.2,0.0,0.0,0.0,1.3,2.1,61.4,1.3,2.3,3.6,0.7,0.5,1.5,0.9,1.0,1986,11,DET,Georgia Institute of Technology,1,1,1,0,0.7777777777777777,66.8854114083796,0.9954921111945904,60.0,16.9045830202855,11.48011480114801
217,Mark Alarie,64,17.3,7.9,3.4,6.9,49.0,0.0,0.1,22.2,1.0,1.6,66.3,1.1,2.2,3.3,1.2,0.3,0.4,0.9,1.0,1986,18,DEN,Duke University,1,1,1,1,1.3333333333333333,54.4677330391616,0.9289746001881468,23.18840579710145,10.583254938852306,12.295081967213115
218,Ben Coleman,68,15.1,6.6,2.7,4.6,58.1,0.0,0.0,0.0,1.3,1.8,72.7,1.5,2.8,4.2,0.5,0.5,0.5,1.4,1.0,1984,37,CHI,University of Maryland,1,1,1,0,0.35714285714285715,66.05284227381905,0.9717314487632509,39.130434782608695,20.61248527679623,6.798096532970768
219,Larry Krystkowiak,68,14.8,6.6,2.5,5.5,45.6,0.0,0.2,8.3,1.6,2.2,74.3,1.1,2.4,3.5,1.3,0.3,0.2,1.0,1.0,1986,28,CHI,University of Montana,1,0,1,1,1.3,55.147058823529406,0.8837707552222817,40.0,13.390465988216391,14.697569248162806
220,Kenny Gattison,77,14.3,5.2,1.9,4.0,47.6,0.0,0.0,0.0,1.4,2.2,63.2,1.1,2.4,3.5,0.5,0.3,0.4,1.1,1.0,1986,55,PHO,Old Dominion University,1,0,1,0,0.45454545454545453,57.98394290811776,0.8569545154911009,55.00000000000001,18.12788398154252,7.524454477050415
221,Tim Kempton,66,14.2,4.4,1.5,3.1,47.1,0.0,0.0,0.0,1.4,2.1,69.3,1.1,1.9,2.9,0.8,0.6,0.2,0.7,1.0,1986,124,LAC,University of Notre Dame,1,1,1,0,1.142857142857143,61.76305446378439,0.9314140558848434,67.74193548387098,14.817950889077053,14.29209468512729
222,Harold Pressley,67,13.6,4.6,2.0,4.7,42.3,0.1,0.4,25.0,0.5,0.7,72.9,1.0,1.6,2.6,1.8,0.6,0.3,0.9,0.0,1986,17,SAC,Villanova University,1,0,0,1,2.0,47.38360115368768,0.7786052809749491,14.893617021276595,15.233581584292486,23.27837051406402
223,Kevin Duckworth,65,13.5,5.4,2.0,4.2,47.6,0.0,0.0,0.0,1.4,2.1,68.7,1.2,2.3,3.4,0.4,0.3,0.3,1.2,1.0,1986,33,SAS,Eastern Illinois University,1,0,1,0,0.33333333333333337,57.91505791505792,0.8538899430740038,50.0,18.975332068311193,5.884516366311144
226,Mike Brown,62,13.2,4.2,1.7,3.2,52.7,0.0,0.0,0.0,0.7,1.2,63.9,1.1,2.3,3.5,0.4,0.3,0.1,0.9,1.0,1985,69,CHI,George Washington University,1,0,1,0,0.4444444444444445,60.623556581986136,0.9075194468452895,37.49999999999999,19.44684528954192,7.889546351084813
227,Grant Gondrezick,64,13.1,5.5,2.1,4.7,45.0,0.1,0.3,23.5,1.2,1.7,70.1,0.7,1.0,1.7,1.3,0.4,0.1,0.9,0.0,1986,77,PHO,Pepperdine University,1,0,0,1,1.4444444444444444,54.197871501773754,0.8664146187775676,36.170212765957444,14.177693761814744,16.866688290626016
228,Billy Thompson,59,12.9,5.6,2.4,4.4,54.4,0.0,0.0,0.0,0.8,1.3,64.9,1.2,1.7,2.9,1.0,0.3,0.5,1.0,1.0,1986,19,ATL,University of Louisville,1,1,1,0,1.0,59.7524541186513,0.9377093101138646,29.54545454545454,16.744809109176153,14.250089063056645
229,Mason Plumlee,70,18.2,7.4,2.8,4.3,65.9,0.0,0.0,0.0,1.7,2.8,62.6,1.4,3.0,4.4,0.9,0.7,0.8,1.1,0.0,2013,22,NJN,Duke University,1,1,1,0,0.8181818181818181,75.26444263628967,1.1158021712907118,65.11627906976743,16.586248492159232,11.795543905635649
230,Rafael Addison,62,11.5,5.8,2.4,5.3,44.1,0.3,0.8,32.0,0.8,1.0,79.7,0.7,1.0,1.7,0.7,0.4,0.1,0.9,1.0,1986,39,PHO,Syracuse University,1,1,1,1,0.7777777777777777,52.53623188405797,0.8734939759036143,18.867924528301888,13.55421686746988,9.491525423728813
231,Chris Washburn,35,11.0,3.8,1.6,4.1,39.3,0.0,0.0,0.0,0.5,1.5,35.3,1.0,1.9,2.9,0.5,0.2,0.2,1.1,0.0,1986,3,GSW,North Carolina State University,1,1,0,0,0.45454545454545453,42.88939051918736,0.6484641638225256,36.585365853658544,18.771331058020483,7.797270955165693
234,Johnny Newman,59,10.7,5.0,1.9,4.7,41.1,0.0,0.4,4.5,1.1,1.3,86.8,0.6,0.6,1.2,0.5,0.3,0.1,0.8,1.0,1986,29,CLE,University of Richmond,1,0,1,1,0.625,50.140393100681905,0.8234519104084321,27.659574468085108,13.175230566534916,7.555723460521345
235,Johnny Rogers,45,10.4,4.2,2.0,4.1,48.6,0.0,0.1,0.0,0.2,0.3,60.0,0.7,1.0,1.7,0.6,0.2,0.2,0.4,0.0,1986,34,SAC,"University of California, Irvine",1,0,0,1,1.4999999999999998,50.40806529044648,0.9067357512953369,7.3170731707317085,8.635578583765113,11.444921316165951
236,Dell Curry,67,9.5,4.9,2.1,4.9,42.6,0.3,0.9,28.3,0.4,0.6,78.9,0.4,0.7,1.2,0.9,0.4,0.1,0.7,1.0,1986,15,UTA,Virginia Polytechnic Institute and State University,1,1,1,1,1.2857142857142858,48.68839427662957,0.835607094133697,12.244897959183671,11.937244201909957,13.264554163596165
237,Buck Johnson,60,8.7,3.8,1.6,3.4,46.8,0.0,0.0,0.0,0.7,1.0,69.0,0.6,0.8,1.5,0.7,0.3,0.3,0.6,1.0,1986,20,HOU,University of Alabama,1,1,1,0,1.1666666666666667,52.48618784530387,0.8558558558558559,29.411764705882355,13.513513513513514,13.526570048309178
238,Clinton Smith,41,8.3,3.1,1.2,2.9,42.7,0.0,0.0,0.0,0.7,0.9,75.0,0.6,0.7,1.4,1.1,0.3,0.0,0.6,0.0,1986,97,GSW,Cleveland State University,1,0,0,0,1.8333333333333335,50.0322788896062,0.795687885010267,31.03448275862069,15.400410677618071,21.87966185977126
239,Dave Feitl,62,8.0,3.7,1.4,3.3,43.6,0.0,0.0,0.0,0.9,1.1,74.6,0.6,1.3,1.9,0.4,0.1,0.1,0.6,1.0,1986,43,HOU,University of Texas at El Paso,1,1,1,0,0.6666666666666667,52.230378317334846,0.8439781021897812,33.333333333333336,13.686131386861314,8.294453084499743
240,Conner Henry,54,6.0,2.3,0.9,2.5,33.8,0.2,0.8,31.0,0.3,0.5,63.0,0.1,0.5,0.6,0.6,0.2,0.0,0.5,0.0,1986,89,HOU,"University of California, Santa Barbara",1,0,0,1,1.2,44.06130268199234,0.7142857142857142,20.0,15.527950310559005,15.63517915309446
243,Xavier McDaniel,82,33.0,17.1,7.0,14.3,49.0,0.0,0.1,20.0,3.0,4.4,68.7,3.7,4.2,8.0,2.4,1.2,0.5,3.0,1.0,1985,4,OKC,Wichita State University,1,0,1,1,0.7999999999999999,55.99947602829447,0.8889582033686838,30.76923076923077,15.595757953836555,11.01422670949977
244,Wayman Tisdale,81,28.1,14.7,6.4,12.4,51.5,0.0,0.0,0.0,2.0,2.9,68.4,2.4,4.9,7.2,1.0,0.4,0.5,2.3,1.0,1985,2,IND,University of Oklahoma,1,1,1,0,0.4347826086956522,56.37367694431661,0.9201301952929394,23.387096774193548,14.396594892338507,5.855658029571073
245,Benoit Benjamin,79,26.4,11.1,4.1,8.4,49.0,0.0,0.0,33.3,2.9,3.9,74.6,2.0,5.6,7.6,1.0,0.8,2.6,1.8,1.0,1985,3,LAC,Creighton University,1,0,1,0,0.5555555555555556,59.948152948801024,0.931520644511581,46.42857142857142,15.105740181268882,7.661367554108408
246,Gerald Wilkins,81,25.0,12.5,5.4,11.5,46.8,0.1,0.3,28.0,1.6,2.9,55.7,1.1,1.4,2.6,2.0,0.8,0.1,1.9,1.0,1985,47,NYK,University of Tennessee at Chattanooga,1,1,1,1,1.0526315789473684,51.49118470917779,0.8517307168165713,25.217391304347824,12.946306895611883,11.920727164357025
247,Cody Zeller,82,17.3,6.0,2.1,4.9,42.6,0.0,0.0,0.0,1.8,2.4,73.0,1.4,2.9,4.3,1.1,0.5,0.5,1.1,0.0,2013,4,CHA,Indiana University,1,1,1,0,1.0,55.26897568165069,0.8503401360544216,48.979591836734684,15.589569160997732,13.349514563106796
248,Charles Oakley,77,23.0,9.6,3.6,7.0,51.9,0.0,0.0,0.0,2.3,3.5,66.2,3.3,5.3,8.6,1.7,0.9,0.4,2.3,1.0,1985,9,CLE,Virginia Union University,1,0,1,0,0.7391304347826088,61.77606177606177,0.8856088560885609,50.0,21.21771217712177,13.42546890424482
249,Jon Koncak,82,20.7,8.3,3.2,6.3,50.7,0.0,0.0,0.0,1.9,3.1,60.7,2.1,3.6,5.7,0.7,0.5,0.8,1.4,1.0,1985,5,ATL,Southern Methodist University,1,0,1,0,0.5,59.438556287596676,0.9157105030891439,49.20634920634921,15.445719329214475,7.090402633578121
250,Keith Lee,58,20.6,7.4,3.1,6.6,46.6,0.0,0.2,22.2,1.3,1.7,78.1,2.0,4.1,6.1,1.2,0.5,0.6,1.3,0.0,1985,11,CHI,University of Memphis,1,0,0,1,0.923076923076923,53.05420131918556,0.8556891766882517,25.757575757575758,15.032377428307125,12.112036336109007
251,Ed Pinckney,80,20.0,8.5,3.2,5.7,55.8,0.0,0.0,0.0,2.1,3.2,67.3,1.2,2.7,3.9,1.1,0.9,0.5,1.9,1.0,1985,10,PHO,Villanova University,1,0,1,0,0.5789473684210527,66.36477201748907,0.9436056838365896,56.14035087719298,21.09236234458259,10.763209393346381
252,A.C. Green,82,18.8,6.4,2.5,4.7,53.9,0.0,0.1,16.7,1.2,2.0,61.1,2.0,2.7,4.6,0.7,0.6,0.6,1.2,1.0,1985,23,LAL,Oregon State University,1,1,1,1,0.5833333333333334,62.2568093385214,0.943952802359882,42.5531914893617,17.699115044247787,9.271523178807946
253,Bob Thornton,71,18.6,4.7,1.8,3.9,45.6,0.0,0.0,0.0,1.2,2.3,53.1,1.6,2.5,4.1,0.6,0.4,0.1,1.2,1.0,1984,87,NYK,"University of California, Irvine",1,0,1,0,0.5,53.336359509759426,0.7689790575916231,58.97435897435898,19.633507853403138,8.833271991166729
254,Terry Catledge,64,17.1,7.7,3.2,6.7,46.9,0.0,0.1,0.0,1.4,2.2,64.7,1.7,2.6,4.3,0.3,0.5,0.1,1.1,1.0,1985,21,PHI,University of South Alabama,1,0,1,1,0.2727272727272727,53.5913140311804,0.8781934306569342,32.83582089552239,12.545620437956204,3.280481137233461
255,Spud Webb,79,15.6,7.8,2.5,5.2,48.3,0.0,0.1,18.2,2.7,3.5,78.5,0.3,1.2,1.6,4.3,1.0,0.1,2.0,1.0,1985,87,DET,North Carolina State University,1,1,1,1,2.15,65.32663316582914,0.8924485125858124,67.3076923076923,22.88329519450801,32.668566001899336
256,Terry Porter,79,15.4,7.1,2.7,5.7,47.4,0.2,0.5,31.0,1.6,2.0,80.6,0.4,1.0,1.5,2.5,1.0,0.0,1.3,1.0,1985,24,POR,University of Wisconsin-Stevens Point,1,1,1,1,1.923076923076923,57.81758957654722,0.9010152284263959,35.08771929824561,16.49746192893401,23.923444976076553
257,Nick Calathes,71,16.5,4.9,2.0,4.4,45.7,0.3,0.9,31.1,0.6,1.0,61.1,0.3,1.6,1.9,2.9,0.9,0.1,1.4,0.0,2009,45,MIN,University of Florida,1,1,0,1,2.0714285714285716,53.03030303030303,0.7852564102564102,22.727272727272727,22.435897435897434,31.60762942779291
258,Carey Scurry,78,15.0,4.7,1.8,3.9,47.2,0.0,0.1,9.1,1.0,1.6,61.9,1.2,1.9,3.1,1.1,1.0,0.8,1.2,0.0,1985,37,UTA,Long Island University,1,0,0,1,0.9166666666666667,55.26810912511759,0.8097863542384562,41.02564102564103,20.675396278428668,15.804597701149426
259,Dirk Minniefield,76,14.9,5.5,2.2,4.6,48.1,0.1,0.5,27.0,1.0,1.2,78.5,0.6,1.2,1.7,3.5,0.9,0.0,1.4,0.0,1983,33,DAL,University of Kentucky,1,1,0,1,2.5,56.53782894736842,0.8425245098039215,26.08695652173913,21.446078431372545,34.75670307845085
260,Joe Kleine,80,14.8,5.2,2.0,4.3,46.5,0.0,0.0,0.0,1.2,1.6,72.3,1.4,3.3,4.7,0.6,0.3,0.4,1.3,1.0,1985,6,SAC,University of Arkansas,1,1,1,0,0.4615384615384615,55.88993981083406,0.8248730964467006,37.2093023255814,20.621827411167516,8.620689655172415
261,Alfredrick Hughes,68,12.7,5.2,2.2,5.5,40.9,0.0,0.3,17.6,0.7,1.2,58.3,0.7,0.9,1.7,0.9,0.4,0.1,0.9,0.0,1985,14,SAS,Loyola University of Chicago,1,0,0,1,1.0,45.107564191533655,0.7505773672055427,21.818181818181817,12.990762124711317,11.435832274459973
262,Pete Williams,53,10.8,2.8,1.3,2.1,60.4,0.0,0.0,0.0,0.3,0.8,42.5,0.9,1.9,2.8,0.3,0.4,0.4,0.4,0.0,1985,89,DEN,University of Arizona,1,1,0,0,0.7499999999999999,61.51142355008786,0.9817671809256662,38.095238095238095,14.025245441795233,9.433962264150944
265,Tony Snell,77,16.0,4.5,1.7,4.4,38.4,0.7,2.3,32.0,0.4,0.5,75.6,0.2,1.4,1.6,0.9,0.4,0.2,0.6,0.0,2013,20,CHI,University of New Mexico,1,0,1,1,1.5,49.8891352549889,0.8620689655172414,11.363636363636363,11.494252873563218,14.663951120162933
266,Fred Cofield,45,10.4,3.7,1.7,4.1,40.8,0.1,0.3,20.0,0.3,0.4,60.0,0.1,0.9,1.0,1.8,0.4,0.1,1.1,0.0,1985,73,NYK,Eastern Michigan University,1,0,0,1,1.6363636363636362,44.1738299904489,0.6882440476190477,9.756097560975611,20.46130952380953,25.034770514603615
267,Dwayne McClain,45,10.2,3.5,1.5,4.0,38.3,0.0,0.2,11.1,0.4,0.8,51.4,0.3,0.4,0.7,1.5,0.8,0.1,0.9,0.0,1985,27,IND,Villanova University,1,0,0,1,1.6666666666666665,41.906130268199234,0.6664127951256663,20.0,17.136329017517134,22.123893805309734
268,John Battle,64,10.0,4.3,1.6,3.5,45.5,0.0,0.1,0.0,1.2,1.6,72.8,0.2,0.8,1.0,1.2,0.4,0.1,0.7,1.0,1985,84,ATL,Rutgers University,1,1,1,1,1.7142857142857144,55.81516095534788,0.8768352365415987,45.714285714285715,14.274061990212072,19.48051948051948
269,Jerry Reynolds,55,9.2,3.7,1.3,2.9,44.4,0.0,0.0,50.0,1.1,1.9,55.8,0.7,0.8,1.5,1.6,0.8,0.3,0.9,1.0,1985,22,MIL,Louisiana State University,1,1,1,0,1.777777777777778,55.756479807112726,0.7981018119068163,65.51724137931035,19.413287316652287,25.386751289170967
270,Steve Harris,57,8.5,4.5,1.8,4.1,44.2,0.0,0.1,20.0,0.9,0.9,92.6,0.4,0.6,1.0,0.9,0.4,0.1,0.6,1.0,1985,19,HOU,University of Tulsa,1,0,1,1,1.5,52.34993020009306,0.8830455259026689,21.951219512195124,11.773940345368917,14.931563666528413
271,Lorenzo Charles,36,7.6,3.4,1.4,2.4,55.7,0.0,0.0,0.0,0.7,1.0,66.7,0.4,0.7,1.1,0.2,0.1,0.2,0.5,0.0,1985,41,ATL,North Carolina State University,1,1,0,0,0.4,64.8854961832061,1.0179640718562875,41.66666666666667,14.970059880239523,5.594405594405594
272,Sam Vincent,57,7.6,3.2,1.0,2.8,36.4,0.0,0.1,25.0,1.1,1.2,92.9,0.2,0.6,0.8,1.2,0.3,0.1,0.9,1.0,1985,20,BOS,Michigan State University,1,1,1,1,1.3333333333333333,52.219321148825074,0.7568590350047305,42.85714285714286,21.286660359508044,21.937842778793417
273,Blair Rasmussen,48,6.9,3.2,1.3,3.1,40.7,0.0,0.0,0.0,0.6,0.8,79.5,0.8,1.3,2.0,0.3,0.1,0.2,0.8,1.0,1985,15,DEN,University of Oregon,1,1,1,0,0.37499999999999994,48.84004884004884,0.7525870178739418,25.806451612903224,18.814675446848543,6.550218340611353
274,Vern Fleming,80,31.1,14.1,5.4,11.5,47.0,0.0,0.1,0.0,3.3,4.2,76.7,1.9,2.2,4.0,3.1,1.2,0.1,2.5,1.0,1984,18,IND,University of Georgia,1,1,1,1,1.24,56.74500965872505,0.8897021706208985,36.52173913043478,15.774861181221606,16.234616391725584
275,Sam Bowie,76,29.2,10.0,3.9,7.3,53.7,0.0,0.0,0.0,2.1,3.0,71.1,2.7,5.9,8.6,2.8,0.7,2.7,2.3,1.0,1984,2,POR,University of Kentucky,1,1,1,0,1.2173913043478262,62.8140703517588,0.9157509157509159,41.09589041095891,21.062271062271066,20.253164556962027
276,Sam Perkins,82,28.3,11.0,4.2,9.0,47.1,0.1,0.4,25.0,2.4,3.0,82.0,2.3,5.1,7.4,1.6,0.8,0.8,1.2,1.0,1984,4,DAL,University of North Carolina,1,1,1,1,1.3333333333333335,56.935817805383024,0.9548611111111112,33.33333333333333,10.416666666666668,12.098298676748582
277,Jay Humphries,80,25.8,8.8,3.5,7.8,44.6,0.1,0.3,20.0,1.8,2.1,82.9,0.4,1.7,2.1,4.4,1.3,0.1,2.1,1.0,1984,13,PHO,University of Colorado,1,1,1,1,2.0952380952380953,53.2558702493343,0.8130081300813009,26.923076923076927,19.401330376940134,28.762869749959147
278,Melvin Turpin,79,24.7,10.6,4.6,9.0,51.1,0.0,0.0,0.0,1.4,1.8,78.4,2.0,3.8,5.7,0.5,0.5,1.1,1.5,1.0,1984,6,WAS,University of Kentucky,1,1,1,0,0.3333333333333333,56.40698169433801,0.9387176762309599,20.0,13.283740701381507,4.217629692113032
279,Otis Thorpe,82,23.4,12.8,5.0,8.4,60.0,0.0,0.0,0.0,2.8,4.5,62.0,2.3,4.5,6.8,1.4,0.4,0.5,2.3,1.0,1984,9,SAC,Providence College,1,0,1,0,0.6086956521739131,68.15761448349308,1.0094637223974765,53.57142857142857,18.138801261829652,9.83318700614574
280,Kevin Willis,82,21.8,9.3,3.9,8.4,46.7,0.0,0.1,22.2,1.5,2.2,65.7,2.2,4.2,6.4,0.4,0.4,0.6,1.3,1.0,1984,11,ATL,Michigan State University,1,1,1,1,0.3076923076923077,52.341287708239534,0.8717660292463442,26.190476190476193,12.185976752905885,3.589053387169134
281,Michael Cage,75,21.5,7.1,2.9,5.3,54.3,0.0,0.0,0.0,1.3,1.8,73.7,1.7,3.5,5.2,0.7,0.6,0.4,1.1,1.0,1984,14,LAC,San Diego State University,1,0,1,0,0.6363636363636362,62.32443820224719,0.9872080088987764,33.9622641509434,15.294771968854285,8.799497171590193
282,Alvin Robertson,79,21.3,9.2,3.8,7.6,49.8,0.1,0.1,36.4,1.6,2.1,73.4,1.5,1.9,3.4,3.5,1.6,0.3,2.1,1.0,1984,7,SAS,University of Arkansas,1,1,1,1,1.6666666666666665,57.05780203423468,0.8659638554216867,27.631578947368425,19.766566265060245,24.652227504842404
283,Tim McCormick,78,20.3,9.3,3.4,6.2,55.7,0.0,0.0,0.0,2.4,3.4,71.5,1.9,3.2,5.1,1.0,0.2,0.4,1.5,1.0,1984,12,CLE,University of Michigan,1,1,1,0,0.6666666666666666,66.92573402417962,1.0113092648977817,54.83870967741935,16.311439756415833,9.694619486185166
284,Jeff Turner,72,19.8,5.8,2.4,5.2,45.4,0.0,0.0,0.0,1.1,1.3,85.9,1.2,1.8,3.0,1.5,0.4,0.1,1.3,1.0,1984,17,NJN,Vanderbilt University,1,1,1,0,1.1538461538461537,52.86183011301494,0.8201357466063348,25.0,18.38235294117647,17.40644038294169
287,Antoine Carr,62,19.3,8.0,3.2,6.0,52.8,0.0,0.1,33.3,1.6,2.1,78.9,1.3,2.5,3.7,1.3,0.5,1.3,1.7,1.0,1983,8,DET,Wichita State University,1,0,1,1,0.7647058823529412,61.900340451872495,0.9276437847866419,35.0,19.71243042671614,13.003250812703179
288,Steve Colter,78,18.7,7.1,2.8,6.1,45.3,0.3,0.9,35.1,1.3,1.7,75.4,0.5,1.4,1.9,3.1,1.0,0.1,1.4,1.0,1984,33,POR,New Mexico State University,1,0,1,1,2.2142857142857144,54.83472350942231,0.8608147429679923,27.868852459016395,16.973811833171677,27.17510409818102
289,Ken Bannister,75,18.7,6.8,2.8,5.9,47.0,0.0,0.0,0.0,1.2,2.6,47.4,1.4,3.0,4.4,0.5,0.5,0.5,1.9,1.0,1984,156,NYK,Saint Augustine's College,1,0,1,0,0.2631578947368421,52.53399258343634,0.7602862254025043,44.06779661016949,21.2432915921288,5.2438384897745145
290,Terence Stansbury,74,17.3,7.1,2.8,6.2,45.9,0.1,0.3,16.0,1.4,1.7,81.0,0.5,1.0,1.5,1.7,0.6,0.2,1.1,0.0,1984,15,DAL,Temple University,1,0,0,1,1.5454545454545452,54.000608457560084,0.8822067594433399,27.419354838709676,13.667992047713717,17.333673209278615
291,Othell Wilson,74,17.0,4.4,1.8,3.9,46.0,0.0,0.2,18.8,0.7,1.0,71.1,0.5,1.3,1.8,2.9,1.0,0.2,1.3,0.0,1984,35,GSW,University of Virginia,1,1,0,1,2.230769230769231,53.398058252427184,0.7801418439716313,25.641025641025646,23.049645390070925,33.81924198250728
292,Eddie Lee Wilkins,54,17.0,5.5,2.1,4.3,49.8,0.0,0.0,0.0,1.2,2.3,54.1,1.6,3.3,4.9,0.3,0.4,0.3,1.2,1.0,1984,133,NYK,Gardner-Webb University,1,0,1,0,0.25,57.22014148980441,0.8445945945945946,53.48837209302325,18.42751842751843,4.352557127312296
293,Chuck Aleksinas,74,15.1,5.1,2.2,4.6,47.8,0.0,0.0,0.0,0.7,1.0,73.3,1.2,2.5,3.6,0.5,0.2,0.2,1.0,0.0,1982,76,CHI,University of Connecticut,1,0,0,0,0.5,52.9045643153527,0.8443708609271523,21.73913043478261,16.55629139072848,7.604562737642587
294,Ron Anderson,36,14.4,5.8,2.3,5.4,43.1,0.0,0.1,50.0,1.1,1.4,82.0,1.1,1.4,2.4,0.9,0.3,0.2,0.9,1.0,1984,27,CLE,"California State University, Fresno",1,0,1,1,1.0,50.805886475122634,0.8386350491613649,25.925925925925924,13.013302486986698,11.44310235219326
295,Frank Brickowski,78,14.3,4.9,1.9,3.9,49.2,0.0,0.1,0.0,1.1,1.6,66.9,1.0,2.4,3.3,1.3,0.4,0.2,1.3,1.0,1981,57,NYK,Pennsylvania State University,1,1,1,1,1.0,57.61994355597366,0.8299457994579946,41.02564102564103,22.018970189701896,17.90633608815427
296,Ozell Jones,67,13.3,3.7,1.6,2.7,58.9,0.0,0.0,0.0,0.5,1.2,39.8,1.0,2.6,3.6,0.8,0.5,0.8,0.9,0.0,1984,90,SAS,"California State University, Fullerton",1,0,0,0,0.888888888888889,62.41565452091768,0.8963178294573644,44.44444444444444,21.802325581395348,16.096579476861166
297,Devin Durrant,59,12.8,5.1,1.9,4.6,41.6,0.0,0.1,0.0,1.2,1.7,70.6,0.8,1.3,2.1,1.4,0.3,0.2,1.3,0.0,1984,25,IND,Brigham Young University,1,0,0,1,1.0769230769230769,51.26658624849216,0.7671480144404332,36.95652173913044,19.554753309265944,17.26796176379895
298,Jerome Kersey,77,12.4,6.1,2.3,4.8,47.8,0.0,0.0,0.0,1.5,2.4,64.6,1.2,1.4,2.7,0.8,0.6,0.4,0.9,1.0,1984,46,POR,Longwood University,1,0,1,0,0.888888888888889,57.24474474474475,0.9029011249259916,50.0,13.321492007104796,10.471204188481677
299,Jim Petersen,60,11.9,3.2,1.2,2.4,48.6,0.0,0.0,0.0,0.8,1.1,75.8,0.7,1.7,2.5,0.5,0.2,0.5,1.2,1.0,1984,51,HOU,University of Minnesota,1,1,1,0,0.4166666666666667,60.56018168054504,0.783545543584721,45.833333333333336,29.382957884427036,10.81665765278529
300,Tony Campbell,56,11.2,5.6,2.3,4.7,49.6,0.0,0.0,0.0,1.0,1.3,80.0,0.7,0.9,1.6,0.4,0.5,0.1,1.2,1.0,1984,20,DET,Ohio State University,1,1,1,0,0.33333333333333337,56.15724027276373,0.8652657601977749,27.659574468085108,18.541409147095177,5.782435851102276
301,Lancaster Gordon,63,10.8,4.1,1.7,4.6,38.3,0.0,0.1,22.2,0.6,0.8,75.5,0.4,0.6,1.0,1.4,0.5,0.1,1.1,0.0,1984,8,LAC,University of Louisville,1,1,0,1,1.2727272727272725,42.92294807370184,0.6774619960343687,17.39130434782609,18.17580964970258,18.716577540106954
302,Gary Plummer,66,10.6,3.8,1.4,3.5,39.7,0.0,0.1,25.0,1.0,1.4,70.7,0.8,1.2,2.0,0.4,0.2,0.2,0.8,0.0,1984,45,GSW,Boston University,1,0,0,1,0.5,49.89495798319328,0.772986167615948,40.0,16.27339300244101,7.4557315936626285
303,Kenny Fields,51,10.5,3.8,1.6,3.7,44.0,0.0,0.0,0.0,0.5,0.7,75.0,0.8,0.8,1.6,0.7,0.2,0.2,0.6,0.0,1984,21,MIL,"University of California, Los Angeles",1,1,0,0,1.1666666666666667,49.29942916450441,0.8246527777777778,18.918918918918916,13.020833333333334,13.127051101734647
304,Cory Blackwell,60,9.2,3.4,1.5,4.0,36.7,0.0,0.0,0.0,0.5,0.9,50.9,0.7,0.9,1.6,0.4,0.4,0.1,0.7,0.0,1984,28,OKC,University of Wisconsin,1,1,0,0,0.5714285714285715,40.49547403525488,0.6671899529042385,22.5,13.736263736263735,7.236544549977385
